,gen.name2,name3,rate.0.5,density
1,Armillaria_gallica_FP102531_C6D,a.gal1.s,0.25,0.1
2,Armillaria_gallica_EL8_A6F,a.gal10.n,0.35,1.02
3,Armillaria_gallica_FP102534_A5A,a.gal2.s,0.21,0.16
4,Armillaria_gallica_FP102535_A5D,a.gal3.s,0.25,0.5
5,Armillaria_gallica_FP102542_A5B,a.gal5.s,0.25,0.65
6,Armillaria_gallica_HHB12551_C6C,a.gal6.n,0.49,0.91
7,Armillaria_gallica_OC1_A6E,a.gal8.n,0.25,0.55
8,Armillaria_gallica_SH1_A4A,a.gal9.n,0.76,0.61
9,Armillaria_sinapina_PR9,a.sin.n,0.77,0.12
10,Armillaria_tabescens_FP102622_A3C,a.tab.n,0.5,0.07
11,Armillaria_tabescens_TJV93_261_A1E,a.tab.s,1.07,0.63
12,Fomes_fomentarius_TJV93_7_A3E,f.fom.n,4.71,0.002375
13,Hyphodontia_crustosa_HHB13392_B7B,h.crust.n,1.96,0.12
14,Hyphoderma_setigerum_HHB12156_B3H,h.seti.n,4.11,0.09
15,Hyphoderma_setigerum_FP150263_B2C,h.seti.s,4.7,0.03
16,Laetiporus_caribensis_GDL1_A1A,l.carib.s,3.77,0.1
17,Laetiporus_conifericola_HHB15411_C8B,l.conif.n,5.16,0.04
18,Lentinus_crinitus_PR2058_C1B,l.crin.s,6.38,0.05
19,Laetiporus_gilbertsonii_CA6_C2D,l.gilb.s,4.14,0.12
20,Laetiporus_huroniensis_HMC1_C2H,l.huron.n,3.39,0.41
21,Mycoacia_meridionalis_FP150352_C4E,m.meri.s,1.3,0.84
22,Merulius_tremullosus_FP102301_C3E,m.trem.n,10.62,0.08
23,Merulius_tremellosus_FP150849_C3F,m.trem.s,9.62,0.02
24,Phlebiopsis_flavidoalba_FP102185_B12D,p.flav.n,8.04,0.05
25,Phlebiopsis_flavidoalba_FP150451_A8G,p.flav.s,10.8,0.04
26,Phellinus_gilvus_HHB11977_C4H,p.gilv.n,4.04,0.03
27,Phellinus_hartigii_DMR94_44_A10E,p.har.n,1.54,1.8
28,Porodisculus_pendulus_HHB13576_B12C,p.pend.n,4.06,0.32
29,Phellinus_robiniae_FP135708_A10G,p.robin.n,2.3,0.07
30,Phellinus_robiniae_AZ15_A10H Banik/Mark,p.robin.s,2.14,0.12
31,Phlebia_acerina_MR4280_B9G,p.rufa.acer.n,8.75,0.14
32,Phlebia_acerina_DR60_A8A,p.rufa.acer.s,8.51,0.27
33,Pycnoporus_sanguineus_PR_SC_95_A11C,p.sang.s,4.97,0.02
34,Schizophyllum_commune_TJV93_5_A10A,s.comm.n,4.41,0.53
35,Schizophyllum_commune_PR1117,s.comm.s,2.57,0.59
36,Tyromyces_chioneus_HHB11933_B10F,t.chion.n,3.88,0.06
37,Xylobolus_subpileatus_FP102567_A11A,x.sub.s,0.77,1.74
